sahidic_ruth-Ruth_01_s0001	Masoretic-Ruth-1:1-hbo
sahidic_ruth-Ruth_01_s0002	Masoretic-Ruth-1:2-hbo
sahidic_ruth-Ruth_01_s0003	Masoretic-Ruth-1:3-hbo
sahidic_ruth-Ruth_01_s0004	Masoretic-Ruth-1:4-hbo
sahidic_ruth-Ruth_01_s0005	Masoretic-Ruth-1:5-hbo
sahidic_ruth-Ruth_01_s0006	Masoretic-Ruth-1:6-hbo
sahidic_ruth-Ruth_01_s0007	Masoretic-Ruth-1:7-hbo
sahidic_ruth-Ruth_01_s0008	Masoretic-Ruth-1:8-hbo
sahidic_ruth-Ruth_01_s0009	Masoretic-Ruth-1:9-hbo
sahidic_ruth-Ruth_01_s0010	Masoretic-Ruth-1:10-hbo
sahidic_ruth-Ruth_01_s0011	Masoretic-Ruth-1:11-hbo
sahidic_ruth-Ruth_01_s0012	Masoretic-Ruth-1:12-hbo
sahidic_ruth-Ruth_01_s0013	Masoretic-Ruth-1:13-hbo
sahidic_ruth-Ruth_01_s0014	Masoretic-Ruth-1:14-hbo
sahidic_ruth-Ruth_01_s0015	Masoretic-Ruth-1:15-hbo
sahidic_ruth-Ruth_01_s0016	Masoretic-Ruth-1:16-hbo
sahidic_ruth-Ruth_01_s0017	Masoretic-Ruth-1:17-hbo
sahidic_ruth-Ruth_01_s0018	Masoretic-Ruth-1:18-hbo
sahidic_ruth-Ruth_01_s0019	Masoretic-Ruth-1:19-hbo
sahidic_ruth-Ruth_01_s0020	Masoretic-Ruth-1:20-hbo
sahidic_ruth-Ruth_01_s0021	Masoretic-Ruth-1:21-hbo
sahidic_ruth-Ruth_01_s0022	Masoretic-Ruth-1:22-hbo
sahidic_ruth-Ruth_02_s0001	Masoretic-Ruth-2:1-hbo
sahidic_ruth-Ruth_02_s0002	Masoretic-Ruth-2:2-hbo
sahidic_ruth-Ruth_02_s0003	Masoretic-Ruth-2:3-hbo
sahidic_ruth-Ruth_02_s0004	Masoretic-Ruth-2:4-hbo
sahidic_ruth-Ruth_02_s0005	Masoretic-Ruth-2:5-hbo
sahidic_ruth-Ruth_02_s0006	Masoretic-Ruth-2:6-hbo
sahidic_ruth-Ruth_02_s0007	Masoretic-Ruth-2:7-hbo
sahidic_ruth-Ruth_02_s0008	Masoretic-Ruth-2:8-hbo
sahidic_ruth-Ruth_02_s0009	Masoretic-Ruth-2:9-hbo
sahidic_ruth-Ruth_02_s0010	Masoretic-Ruth-2:10-hbo
sahidic_ruth-Ruth_02_s0011	Masoretic-Ruth-2:11-hbo
sahidic_ruth-Ruth_02_s0012	Masoretic-Ruth-2:12-hbo
sahidic_ruth-Ruth_02_s0013	Masoretic-Ruth-2:13-hbo
sahidic_ruth-Ruth_02_s0014	Masoretic-Ruth-2:14-hbo
sahidic_ruth-Ruth_02_s0015	Masoretic-Ruth-2:15-hbo
sahidic_ruth-Ruth_02_s0016	Masoretic-Ruth-2:16-hbo
sahidic_ruth-Ruth_02_s0017	Masoretic-Ruth-2:17-hbo
sahidic_ruth-Ruth_02_s0018	Masoretic-Ruth-2:18-hbo
sahidic_ruth-Ruth_02_s0019	Masoretic-Ruth-2:19-hbo
sahidic_ruth-Ruth_02_s0020	Masoretic-Ruth-2:20-hbo
sahidic_ruth-Ruth_02_s0021	Masoretic-Ruth-2:21-hbo
sahidic_ruth-Ruth_02_s0022	Masoretic-Ruth-2:22-hbo
sahidic_ruth-Ruth_02_s0023	Masoretic-Ruth-2:23-hbo
sahidic_ruth-Ruth_03_s0001	Masoretic-Ruth-3:1-hbo
sahidic_ruth-Ruth_03_s0002	Masoretic-Ruth-3:2-hbo
sahidic_ruth-Ruth_03_s0003	Masoretic-Ruth-3:3-hbo
sahidic_ruth-Ruth_03_s0004	Masoretic-Ruth-3:4-hbo
sahidic_ruth-Ruth_03_s0005	Masoretic-Ruth-3:5-hbo
sahidic_ruth-Ruth_03_s0006	Masoretic-Ruth-3:6-hbo
sahidic_ruth-Ruth_03_s0007	Masoretic-Ruth-3:7-hbo
sahidic_ruth-Ruth_03_s0008	Masoretic-Ruth-3:8-hbo
sahidic_ruth-Ruth_03_s0009	Masoretic-Ruth-3:9-hbo
sahidic_ruth-Ruth_03_s0010	Masoretic-Ruth-3:10-hbo
sahidic_ruth-Ruth_03_s0011	Masoretic-Ruth-3:11-hbo
sahidic_ruth-Ruth_03_s0012	Masoretic-Ruth-3:12-hbo
sahidic_ruth-Ruth_03_s0013	Masoretic-Ruth-3:13-hbo
sahidic_ruth-Ruth_03_s0014	Masoretic-Ruth-3:14-hbo
sahidic_ruth-Ruth_03_s0015	Masoretic-Ruth-3:15-hbo
sahidic_ruth-Ruth_03_s0016	Masoretic-Ruth-3:16-hbo
sahidic_ruth-Ruth_03_s0017	Masoretic-Ruth-3:17-hbo
sahidic_ruth-Ruth_03_s0018	Masoretic-Ruth-3:18-hbo
sahidic_ruth-Ruth_04_s0001	Masoretic-Ruth-4:1-hbo
sahidic_ruth-Ruth_04_s0002	Masoretic-Ruth-4:2-hbo
sahidic_ruth-Ruth_04_s0003	Masoretic-Ruth-4:3-hbo
sahidic_ruth-Ruth_04_s0004	Masoretic-Ruth-4:4-hbo
sahidic_ruth-Ruth_04_s0005	Masoretic-Ruth-4:5-hbo
sahidic_ruth-Ruth_04_s0006	Masoretic-Ruth-4:6-hbo
sahidic_ruth-Ruth_04_s0007	Masoretic-Ruth-4:7-hbo
sahidic_ruth-Ruth_04_s0008	Masoretic-Ruth-4:8-hbo
sahidic_ruth-Ruth_04_s0009	Masoretic-Ruth-4:9-hbo
sahidic_ruth-Ruth_04_s0010	Masoretic-Ruth-4:10-hbo
sahidic_ruth-Ruth_04_s0011	Masoretic-Ruth-4:11-hbo
sahidic_ruth-Ruth_04_s0012	Masoretic-Ruth-4:12-hbo
sahidic_ruth-Ruth_04_s0013	Masoretic-Ruth-4:13-hbo
sahidic_ruth-Ruth_04_s0014	Masoretic-Ruth-4:14-hbo
sahidic_ruth-Ruth_04_s0015	Masoretic-Ruth-4:15-hbo
sahidic_ruth-Ruth_04_s0016	Masoretic-Ruth-4:16-hbo
sahidic_ruth-Ruth_04_s0017	Masoretic-Ruth-4:17-hbo
sahidic_ruth-Ruth_04_s0018	Masoretic-Ruth-4:18-hbo
sahidic_ruth-Ruth_04_s0019	Masoretic-Ruth-4:19-hbo
sahidic_ruth-Ruth_04_s0020	Masoretic-Ruth-4:20-hbo
sahidic_ruth-Ruth_04_s0021	Masoretic-Ruth-4:21-hbo
sahidic_ruth-Ruth_04_s0022	Masoretic-Ruth-4:22-hbo
